,6
2014-12-31,"{'삼양홀딩스': [70.0, 325.0, 392.0], '제일연마': [148.0, 259.0, 682.0], '삼양통상': [20.0, 423.0, 284.0], '조광피혁': [48.0, 445.0, 286.0], '동일산업': [101.0, 248.0, 447.0], '삼광글라스': [69.0, 362.0, 360.0], '아이에스동서': [17.0, 359.0, 126.0], '디씨엠': [59.0, 278.0, 304.0], 'BGF': [102.0, 111.5, 368.0], '코스맥스': [257.0, 111.5, 118.0]}"
2015-01-31,"{'삼양홀딩스': [123.0, 328.0, 396.0], '삼양통상': [23.0, 419.0, 336.0], '조광피혁': [45.0, 380.0, 418.0], '동일산업': [182.0, 246.0, 406.0], '아이에스동서': [16.0, 340.0, 178.0], '디씨엠': [96.0, 270.0, 424.0], 'BGF': [116.0, 111.5, 358.0], 'S&T모티브': [108.0, 299.0, 286.0], 'STX엔진': [413.5, 111.5, 721.5], '트러스제7호': [270.0, 228.0, 714.0]}"
2015-02-28,"{'삼양통상': [65.0, 416.0, 469.0], '조광피혁': [95.0, 350.0, 543.0], '동일산업': [144.0, 252.0, 418.0], '아이에스동서': [23.0, 314.0, 198.0], '삼성에스디에스': [308.0, 111.5, 11.0], '디씨엠': [128.0, 271.0, 439.0], 'BGF': [73.0, 111.5, 345.0], 'S&T모티브': [64.0, 302.0, 321.0], '제주항공': [12.0, 111.5, 696.0], '미원홀딩스': [238.0, 254.0, 692.0]}"
2015-03-31,"{'태원물산': [256.0, 294.0, 515.0], '덕성': [248.0, 245.0, 596.0], '아이에스동서': [32.0, 299.0, 192.0], '디씨엠': [210.0, 274.0, 504.0], 'BGF': [37.0, 406.0, 381.0], 'S&T모티브': [76.0, 304.0, 231.0], '미래에셋생명': [132.0, 111.5, 602.0], '제주항공': [12.0, 111.5, 688.0], 'JW홀딩스': [187.0, 308.0, 449.0], '미원홀딩스': [258.0, 257.0, 700.0]}"
2015-04-30,"{'삼양통상': [199.0, 368.0, 493.0], '동일산업': [263.0, 243.0, 488.0], '한국내화': [292.0, 256.0, 501.0], '아이에스동서': [50.0, 297.0, 210.0], 'BGF': [56.0, 492.0, 266.0], '한국항공우주': [97.0, 413.0, 59.0], 'S&T모티브': [80.0, 356.0, 153.0], '미래에셋생명': [73.0, 111.5, 665.0], '제주항공': [27.0, 111.5, 705.0], '케이탑리츠': [281.0, 236.0, 649.0]}"
2015-05-31,"{'휴스틸': [269.0, 262.0, 460.0], '삼광글라스': [96.0, 348.0, 329.0], '한국내화': [251.0, 322.0, 510.0], '아이에스동서': [135.0, 321.0, 120.0], 'BGF': [39.0, 524.0, 278.0], '미래에셋생명': [214.0, 110.0, 641.0], '제주항공': [106.0, 110.0, 718.0], '씨에스윈드': [286.0, 110.0, 214.0], '쿠쿠홀딩스': [218.0, 110.0, 170.0], 'QV Big Vol ETN': [281.0, 110.0, 681.0]}"
2015-06-30,"{'삼광글라스': [93.0, 406.0, 252.0], '평화홀딩스': [251.0, 315.0, 595.0], '아이에스동서': [184.0, 311.0, 225.0], '동원금속': [262.0, 277.0, 605.0], '삼성물산': [409.0, 107.5, 7.0], 'KSS해운': [174.0, 297.0, 522.0], '한국항공우주': [69.0, 440.0, 39.0], '씨에스윈드': [337.0, 107.5, 287.0], '케이탑리츠': [327.0, 229.0, 710.0], 'QV Big Vol ETN': [288.0, 107.5, 724.0]}"
2015-07-31,"{'동양물산': [305.0, 276.0, 708.0], '아이에스동서': [190.0, 356.0, 214.0], '부국철강': [151.0, 255.0, 592.0], 'BGF': [27.0, 552.0, 238.0], '삼성물산': [303.0, 107.0, 8.0], '황금에스티': [227.0, 299.0, 502.0], '한국항공우주': [44.0, 453.0, 25.0], '씨에스윈드': [365.0, 107.0, 320.0], '케이탑리츠': [265.0, 242.0, 702.0], 'QV Big Vol ETN': [310.0, 107.0, 736.0]}"
2015-08-31,"{'동양물산': [271.0, 299.0, 741.0], '진양산업': [313.0, 222.0, 632.0], '고려아연': [186.0, 277.0, 77.0], '유니드': [208.0, 231.0, 415.0], '삼성물산': [291.0, 107.0, 10.0], '한국항공우주': [45.0, 455.0, 11.0], '케이탑리츠': [203.0, 243.0, 724.0], '신한 USD K200 선물 바이셀 ETN': [247.0, 107.0, 665.0], 'QV Big Vol ETN': [278.0, 107.0, 735.0], 'QV WISE 배당 ETN': [292.0, 107.0, 756.0]}"
2015-09-30,"{'동양물산': [189.0, 309.0, 737.0], '진양산업': [238.0, 221.0, 632.0], '삼익THK': [233.0, 238.0, 523.0], '유니드': [182.0, 230.0, 262.0], '케이탑리츠': [161.0, 243.0, 739.0], '현대일렉트릭': [439.5, 104.0, nan], '현대건설기계': [439.5, 104.0, nan], '신한 레버리지 WTI원유 선물 ETN(H)': [439.5, 104.0, nan], '신한 인버스 2X 천연가스 선물 ETN(H)': [439.5, 104.0, nan], '삼성 인버스 2X 천연가스 선물 ETN': [439.5, 104.0, nan]}"
