,6
2015-08-31,"{'한화손해보험': [79.0, 185.0, 269.0], '한국제지': [202.0, 98.0, 516.0], '동양물산': [270.0, 144.0, 711.0], '진양산업': [310.0, 67.0, 623.0], '고려아연': [186.0, 122.0, 77.0], '유니드': [208.0, 76.0, 412.0], '삼성물산': [289.0, 29.5, 10.0], '한국항공우주': [45.0, 300.0, 11.0], '텔코웨어': [240.0, 104.0, 598.0], '케이탑리츠': [203.0, 88.0, 700.0]}"
2015-09-30,"{'메리츠화재': [103.0, 132.0, 309.0], '한화손해보험': [55.0, 175.0, 340.0], '동양물산': [189.0, 154.0, 711.0], '진양산업': [237.0, 67.0, 611.0], '삼익THK': [232.0, 84.0, 506.0], '율촌화학': [241.0, 90.0, 494.0], '계양전기': [200.0, 126.0, 429.0], '유니드': [182.0, 76.0, 259.0], 'KSS해운': [174.0, 134.0, 562.0], '케이탑리츠': [161.0, 89.0, 712.0]}"
2015-10-31,"{'한화손해보험': [37.0, 167.0, 331.0], '동양물산': [109.0, 184.0, 706.0], '진양산업': [255.0, 67.0, 673.0], 'KSS해운': [125.0, 125.0, 603.0], '미원홀딩스': [232.0, 66.0, 712.0], '케이탑리츠': [177.0, 88.0, 686.0], '경보제약': [314.5, 28.5, 237.0], '잇츠한불': [314.5, 28.5, nan], '현대일렉트릭': [314.5, 28.5, nan], '현대건설기계': [314.5, 28.5, nan]}"
2015-11-30,"{'동양물산': [53.0, 237.0, 679.0], '진양산업': [197.0, 65.0, 651.0], '선도전기': [166.0, 85.0, 460.0], '해태제과식품': [273.0, 27.5, nan], '미원홀딩스': [163.0, 66.0, 707.0], '경보제약': [273.0, 27.5, 158.0], '토니모리': [273.0, 27.5, 299.0], '잇츠한불': [273.0, 27.5, nan], '현대일렉트릭': [273.0, 27.5, nan], '현대건설기계': [273.0, 27.5, nan]}"
2015-12-31,"{'선도전기': [128.0, 105.0, 496.0], '해태제과식품': [269.0, 27.5, nan], '미원홀딩스': [178.0, 62.0, 703.0], 'DSR': [122.0, 93.0, 593.0], 'SK디앤디': [207.0, 27.5, 268.0], '토니모리': [269.0, 27.5, 377.0], '잇츠한불': [269.0, 27.5, 55.0], '현대코퍼레이션홀딩스': [269.0, 27.5, 210.0], '현대일렉트릭': [269.0, 27.5, nan], '현대건설기계': [269.0, 27.5, nan]}"
2016-01-31,"{'진양산업': [117.0, 68.0, 573.0], '삼익THK': [116.0, 100.0, 479.0], '선도전기': [113.0, 150.0, 410.0], '우진': [188.0, 63.0, 537.0], '미원홀딩스': [200.0, 61.0, 712.0], 'DSR': [109.0, 95.0, 633.0], '이노션': [39.0, 26.5, 124.0], '잇츠한불': [246.5, 26.5, 174.0], '현대일렉트릭': [246.5, 26.5, nan], '현대건설기계': [246.5, 26.5, nan]}"
2016-02-29,"{'유화증권': [160.0, 63.0, 532.0], '진양산업': [203.0, 67.0, 622.0], '상신브레이크': [66.0, 174.0, 425.0], '금호타이어': [78.0, 226.0, 189.0], 'AJ네트웍스': [211.0, 26.5, 564.0], '미원홀딩스': [219.0, 62.0, 691.0], 'SJM': [189.0, 81.0, 388.0], 'DSR': [144.0, 96.0, 630.0], 'SK디앤디': [149.0, 26.5, 361.0], '이노션': [37.0, 26.5, 146.0]}"
2016-03-31,"{'동일제강': [236.0, 26.5, 486.0], 'HDC아이콘트롤스': [239.0, 26.5, 465.0], '비상교육': [60.0, 192.0, 426.0], '우진': [170.0, 62.0, 579.0], '미원홀딩스': [184.0, 65.0, 715.0], 'DSR': [98.0, 121.0, 398.0], '한국패러랠': [178.0, 55.0, 703.0], 'SK디앤디': [196.0, 26.5, 386.0], '이노션': [50.0, 26.5, 181.0], '경보제약': [139.0, 26.5, 261.0]}"
2016-04-30,"{'동일제강': [237.0, 26.0, 546.0], '세아제강지주': [62.0, 205.0, 318.0], '동방아그로': [98.0, 141.0, 642.0], '동원금속': [68.0, 198.0, 612.0], 'HDC아이콘트롤스': [254.0, 26.0, 509.0], '우진': [203.0, 63.0, 651.0], '미원홀딩스': [112.0, 81.0, 716.0], 'SJM': [165.0, 98.0, 482.0], 'DSR': [168.0, 129.0, 454.0], '이노션': [58.0, 26.0, 192.0]}"
2016-05-31,"{'동일제강': [297.0, 24.5, 588.0], '태영건설': [111.0, 165.0, 436.0], '동아지질': [218.0, 98.0, 523.0], '금호타이어': [83.0, 243.0, 222.0], '세진중공업': [265.0, 24.5, 496.0], '맵스리얼티1': [162.0, 53.0, 586.0], '미원홀딩스': [78.0, 84.0, 720.0], '한전산업': [57.0, 204.0, 446.0], '미원화학': [140.0, 113.0, 644.0], 'DSR': [125.0, 140.0, 552.0]}"
2016-06-30,"{'부국증권': [111.0, 102.0, 621.0], '율촌화학': [160.0, 64.0, 511.0], '지엠비코리아': [132.0, 137.0, 533.0], '세진중공업': [198.0, 24.5, 469.0], '맵스리얼티1': [124.0, 54.0, 565.0], '미원홀딩스': [62.0, 100.0, 728.0], '한전산업': [100.0, 173.0, 417.0], '미원화학': [44.0, 121.0, 561.0], '코리아오토글라스': [74.0, 24.5, 311.0], '잇츠한불': [212.0, 24.5, 189.0]}"
2016-07-31,"{'미원상사': [79.0, 121.0, 653.0], '동일산업': [112.0, 141.0, 547.0], '율촌화학': [164.0, 68.0, 532.0], '지엠비코리아': [149.5, 129.0, 591.0], '인팩': [102.0, 151.0, 628.0], '세진중공업': [168.0, 23.0, 528.0], '맵스리얼티1': [119.0, 53.0, 541.0], '미원홀딩스': [68.0, 131.0, 707.0], '미원화학': [30.0, 199.0, 530.0], '코리아오토글라스': [128.0, 23.0, 317.0]}"
2016-08-31,"{'대원강업': [175.0, 91.0, 552.0], '부국증권': [126.5, 99.0, 670.0], '율촌화학': [153.0, 75.0, 547.0], '인팩': [157.0, 146.0, 585.0], '아주캐피탈': [195.0, 69.0, 567.0], 'NAVER': [61.0, 248.0, 5.0], '세진중공업': [238.0, 22.5, 424.0], '맵스리얼티1': [119.0, 54.0, 559.0], '미원홀딩스': [84.0, 141.0, 727.0], '코리아오토글라스': [228.0, 22.5, 286.0]}"
2016-09-30,"{'대원강업': [131.0, 98.0, 610.0], 'CS홀딩스': [180.0, 123.0, 673.0], '경농': [116.0, 214.0, 285.0], '율촌화학': [251.0, 73.0, 582.0], '대창단조': [205.0, 63.0, 606.0], '아주캐피탈': [186.0, 68.0, 595.0], 'NAVER': [61.0, 260.0, 4.0], '맵스리얼티1': [101.0, 57.0, 564.0], '미원홀딩스': [75.0, 139.0, 733.0], '코리아오토글라스': [201.0, 21.0, 388.0]}"
